BCFtools,DeepVariant,FreeBayes,GATK
10685603,10561439,10662132,10662132
10685693,10649819,10662353,10685603
10685824,10657827,10679289,10685693
10685838,10662132,10679333,10685824
10698545,10662353,10685603,10685838
10699803,10685500,10685693,10698545
10699868,10685603,10685824,10699884
10699884,10685693,10685838,10700041
10699941,10685824,10698545,10700081
10699965,10685838,10699254,10703430
10699970,10698545,10699803,10703585
10700041,10698578,10699868,10703631
10700081,10698674,10699884,10703752
10703430,10699793,10699941,10711082
10703585,10699884,10699965,10712065
10711082,10699965,10699970,10713561
10712065,10700041,10700041,10713908
10713561,10700081,10700081,10713971
10713908,10711082,10703430,10713974
10713971,10711837,10703585,10714046
10713974,10712065,10711082,10714047
10714046,10713334,10711837,10714597
10714047,10713339,10712065,10714629
10714597,10713561,10713334,10714676
10714676,10713908,10713561,10714858
10714858,10713971,10713908,10715029
10715029,10713974,10714235,10715837
10715837,10714046,10714597,10716028
10716028,10714047,10714676,10716431
10716431,10714597,10714858,10719914
10717379,10714629,10715029,10719922
10724232,10714676,10715236,10720142
10727114,10714858,10715837,10721543
10727121,10715029,10716028,10724461
10727811,10715236,10716431,10724485
10727822,10715837,10716882,10727114
10728251,10716028,10717194,10727121
10728252,10716431,10717219,10730041
10730041,10717194,10717379,10730066
10730066,10717379,10717387,10730255
10730255,10719914,10719693,10730390
10730449,10719922,10719914,10730449
10730625,10720060,10719922,10730625
10730655,10720142,10720142,10730655
10731396,10721543,10721543,10730791
10735563,10722165,10722371,10730804
10738422,10722371,10724232,10731396
10739301,10724232,10724461,10731574
10739332,10724461,10724485,10735061
10740976,10724485,10726886,10735563
10741320,10724671,10727114,10737402
10741343,10724772,10727121,10737607
10741377,10724784,10727151,10738422
10741539,10724811,10727256,10739140
10741562,10724825,10727603,10739149
10741566,10724827,10727811,10739301
10741863,10726886,10727822,10739332
10742054,10727114,10729744,10739989
10742626,10727121,10730041,10740976
10742708,10727151,10730066,10741320
10743304,10727603,10730255,10741343
10744175,10727811,10730363,10741377
